model_id,pipeline_name,directory
facebook/esm2_t12_35M_UR50D,fill-mask,esm2_t12_35M_UR50D
cross-encoder/mmarco-mMiniLMv2-L12-H384-v1,text-ranking,mmarco-mMiniLMv2-L12-H384-v1
BAAI/bge-large-zh-v1.5,feature-extraction,bge-large-zh-v1.5
saattrupdan/wav2vec2-xls-r-300m-ftspeech,automatic-speech-recognition,wav2vec2-xls-r-300m-ftspeech
arijitx/wav2vec2-xls-r-300m-bengali,automatic-speech-recognition,wav2vec2-xls-r-300m-bengali
Yehor/w2v-xls-r-uk,automatic-speech-recognition,w2v-xls-r-uk
google/owlv2-base-patch16-ensemble,zero-shot-object-detection,owlv2-base-patch16-ensemble
cardiffnlp/twitter-xlm-roberta-base-sentiment,text-classification,twitter-xlm-roberta-base-sentiment
microsoft/wavlm-large,feature-extraction,wavlm-large
facebook/fasttext-language-identification,text-classification,fasttext-language-identification
facebook/wav2vec2-lv-60-espeak-cv-ft,automatic-speech-recognition,wav2vec2-lv-60-espeak-cv-ft
cross-encoder/ms-marco-MiniLM-L2-v2,text-ranking,ms-marco-MiniLM-L2-v2
mlx-community/parakeet-tdt-0.6b-v3,automatic-speech-recognition,parakeet-tdt-0_6b-v3
facebook/wav2vec2-base-960h,automatic-speech-recognition,wav2vec2-base-960h
sentence-transformers-testing/stsb-bert-tiny-safetensors,sentence-similarity,stsb-bert-tiny-safetensors
biohub/ESMC-6B,fill-mask,ESMC-6B
nomic-ai/nomic-embed-vision-v1.5,image-feature-extraction,nomic-embed-vision-v1.5
answerdotai/ModernBERT-large,fill-mask,ModernBERT-large
YituTech/conv-bert-base,feature-extraction,conv-bert-base
rinna/japanese-roberta-base,fill-mask,japanese-roberta-base
classla/wav2vec2-xls-r-parlaspeech-hr,automatic-speech-recognition,wav2vec2-xls-r-parlaspeech-hr
NbAiLab/nb-wav2vec2-1b-nynorsk,automatic-speech-recognition,nb-wav2vec2-1b-nynorsk
Helsinki-NLP/opus-mt-nl-en,translation,opus-mt-nl-en
SamLowe/roberta-base-go_emotions,text-classification,roberta-base-go_emotions
unslothai/1,feature-extraction,1
gagan3012/wav2vec2-xlsr-nepali,automatic-speech-recognition,wav2vec2-xlsr-nepali
StanfordAIMI/stanford-deidentifier-base,token-classification,stanford-deidentifier-base
Alibaba-NLP/gte-multilingual-base,sentence-similarity,gte-multilingual-base
facebook/dinov2-base,image-feature-extraction,dinov2-base
Alibaba-NLP/gte-large-en-v1.5,sentence-similarity,gte-large-en-v1.5
Systran/faster-whisper-small,automatic-speech-recognition,faster-whisper-small
Qdrant/all-MiniLM-L6-v2-onnx,sentence-similarity,all-MiniLM-L6-v2-onnx
nie3e/sentiment-polish-gpt2-small,text-classification,sentiment-polish-gpt2-small
sentence-transformers/distiluse-base-multilingual-cased-v1,sentence-similarity,distiluse-base-multilingual-cased-v1
eddiegulay/wav2vec2-large-xlsr-mvc-swahili,automatic-speech-recognition,wav2vec2-large-xlsr-mvc-swahili
gvs/wav2vec2-large-xlsr-malayalam,automatic-speech-recognition,wav2vec2-large-xlsr-malayalam
Systran/faster-whisper-large-v3,automatic-speech-recognition,faster-whisper-large-v3
BAAI/bge-base-zh-v1.5,feature-extraction,bge-base-zh-v1.5
sentence-transformers/distiluse-base-multilingual-cased-v2,sentence-similarity,distiluse-base-multilingual-cased-v2
timm/tf_efficientnetv2_s.in21k_ft_in1k,image-classification,tf_efficientnetv2_s.in21k_ft_in1k
sentence-transformers/LaBSE,sentence-similarity,LaBSE
almanach/camembert-base,fill-mask,camembert-base
softcatala/wav2vec2-large-xlsr-catala,automatic-speech-recognition,wav2vec2-large-xlsr-catala
facebook/dinov2-large,image-feature-extraction,dinov2-large
unslothai/repeat,feature-extraction,repeat
cardiffnlp/twitter-roberta-base-sentiment,text-classification,twitter-roberta-base-sentiment
jinaai/jina-embeddings-v2-small-en,feature-extraction,jina-embeddings-v2-small-en
Systran/faster-whisper-tiny.en,automatic-speech-recognition,faster-whisper-tiny.en
timm/efficientnet_b0.ra_in1k,image-classification,efficientnet_b0.ra_in1k
IDEA-Research/grounding-dino-tiny,zero-shot-object-detection,grounding-dino-tiny
mlx-community/parakeet-tdt-0.6b-v2,automatic-speech-recognition,parakeet-tdt-0_6b-v2
timm/repvgg_a0.rvgg_in1k,image-classification,repvgg_a0.rvgg_in1k
jhgan/ko-sroberta-multitask,sentence-similarity,ko-sroberta-multitask
jinaai/jina-reranker-v3,text-ranking,jina-reranker-v3
nvidia/parakeet-ctc-1.1b,automatic-speech-recognition,parakeet-ctc-1.1b
openai-community/roberta-base-openai-detector,text-classification,roberta-base-openai-detector
microsoft/deberta-v3-large,fill-mask,deberta-v3-large
nlptown/bert-base-multilingual-uncased-sentiment,text-classification,bert-base-multilingual-uncased-sentiment
anton-l/wav2vec2-large-xlsr-53-estonian,automatic-speech-recognition,wav2vec2-large-xlsr-53-estonian
Helsinki-NLP/opus-mt-en-de,translation,opus-mt-en-de
kyutai/mimi,feature-extraction,mimi
google/siglip2-so400m-patch16-naflex,zero-shot-image-classification,siglip2-so400m-patch16-naflex
microsoft/tapex-base-finetuned-wikisql,table-question-answering,tapex-base-finetuned-wikisql
timm/convnextv2_nano.fcmae_ft_in22k_in1k,image-classification,convnextv2_nano.fcmae_ft_in22k_in1k
microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract,fill-mask,BiomedNLP-BiomedBERT-base-uncased-abstract
AdamCodd/vit-base-nsfw-detector,image-classification,vit-base-nsfw-detector
Salesforce/SFR-Embedding-2_R,feature-extraction,SFR-Embedding-2_R
Marqo/marqo-fashionSigLIP,zero-shot-image-classification,marqo-fashionSigLIP
Snowflake/snowflake-arctic-embed-l-v2.0,sentence-similarity,snowflake-arctic-embed-l-v2.0
sshleifer/distilbart-cnn-12-6,summarization,distilbart-cnn-12-6
jinaai/jina-embeddings-v5-text-nano,feature-extraction,jina-embeddings-v5-text-nano
m3hrdadfi/wav2vec2-large-xlsr-lithuanian,automatic-speech-recognition,wav2vec2-large-xlsr-lithuanian
ahotrod/electra_large_discriminator_squad2_512,question-answering,electra_large_discriminator_squad2_512
Qdrant/bge-small-en-v1.5-onnx-Q,sentence-similarity,bge-small-en-v1.5-onnx-Q
Babelscape/wikineural-multilingual-ner,token-classification,wikineural-multilingual-ner
timm/vit_small_patch14_dinov2.lvd142m,image-feature-extraction,vit_small_patch14_dinov2.lvd142m
comodoro/wav2vec2-xls-r-300m-sk-cv8,automatic-speech-recognition,wav2vec2-xls-r-300m-sk-cv8
Harveenchadha/vakyansh-wav2vec2-sanskrit-sam-60,automatic-speech-recognition,vakyansh-wav2vec2-sanskrit-sam-60
stefan-it/wav2vec2-large-xlsr-53-basque,automatic-speech-recognition,wav2vec2-large-xlsr-53-basque
j-hartmann/emotion-english-distilroberta-base,text-classification,emotion-english-distilroberta-base
pyannote/speaker-diarization,automatic-speech-recognition,speaker-diarization
buildborderless/CommunityForensics-DeepfakeDet-ViT,image-classification,CommunityForensics-DeepfakeDet-ViT
infinitejoy/wav2vec2-large-xls-r-300m-welsh,automatic-speech-recognition,wav2vec2-large-xls-r-300m-welsh
sentence-transformers/paraphrase-MiniLM-L3-v2,sentence-similarity,paraphrase-MiniLM-L3-v2
intfloat/e5-base,sentence-similarity,e5-base
kresnik/wav2vec2-large-xlsr-korean,automatic-speech-recognition,wav2vec2-large-xlsr-korean
Systran/faster-whisper-tiny,automatic-speech-recognition,faster-whisper-tiny
nomic-ai/nomic-embed-text-v2-moe,sentence-similarity,nomic-embed-text-v2-moe
gagan3012/wav2vec2-xlsr-khmer,automatic-speech-recognition,wav2vec2-xlsr-khmer
google/siglip2-base-patch16-naflex,zero-shot-image-classification,siglip2-base-patch16-naflex
microsoft/wavlm-base-plus,feature-extraction,wavlm-base-plus
Helsinki-NLP/opus-mt-fr-en,translation,opus-mt-fr-en
audeering/wav2vec2-large-robust-24-ft-age-gender,audio-classification,wav2vec2-large-robust-24-ft-age-gender
microsoft/graphcodebert-base,fill-mask,graphcodebert-base
google/siglip2-giant-opt-patch16-384,zero-shot-image-classification,siglip2-giant-opt-patch16-384
google/siglip2-so400m-patch16-256,zero-shot-image-classification,siglip2-so400m-patch16-256
distil-whisper/distil-large-v3,automatic-speech-recognition,distil-large-v3
yiyanghkust/finbert-tone,text-classification,finbert-tone
facebook/esm2_t6_8M_UR50D,fill-mask,esm2_t6_8M_UR50D
facebook/sam-vit-base,mask-generation,sam-vit-base
microsoft/VibeVoice-ASR,automatic-speech-recognition,VibeVoice-ASR
microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,zero-shot-image-classification,BiomedCLIP-PubMedBERT_256-vit_base_patch16_224
CohereLabs/cohere-transcribe-03-2026,automatic-speech-recognition,cohere-transcribe-03-2026
hustvl/yolos-small,object-detection,yolos-small
ZhengPeng7/BiRefNet,image-segmentation,BiRefNet
Qdrant/bm25,sentence-similarity,bm25
microsoft/deberta-v3-small,fill-mask,deberta-v3-small
google/canine-c,feature-extraction,canine-c
livekit/turn-detector,text-classification,turn-detector
Salesforce/blip-image-captioning-large,image-to-text,blip-image-captioning-large
thenlper/gte-large,sentence-similarity,gte-large
lxyuan/distilbert-base-multilingual-cased-sentiments-student,text-classification,distilbert-base-multilingual-cased-sentiments-student
DrishtiSharma/wav2vec2-large-xls-r-300m-bg-d2,automatic-speech-recognition,wav2vec2-large-xls-r-300m-bg-d2
dbmdz/bert-large-cased-finetuned-conll03-english,token-classification,bert-large-cased-finetuned-conll03-english
depth-anything/DA3METRIC-LARGE,depth-estimation,DA3METRIC-LARGE
BAAI/bge-base-en,feature-extraction,bge-base-en
facebook/detr-resnet-50,object-detection,detr-resnet-50
mpoyraz/wav2vec2-xls-r-300m-cv7-turkish,automatic-speech-recognition,wav2vec2-xls-r-300m-cv7-turkish
google/siglip2-so400m-patch14-384,zero-shot-image-classification,siglip2-so400m-patch14-384
oliverguhr/fullstop-punctuation-multilang-large,token-classification,fullstop-punctuation-multilang-large
kingabzpro/wav2vec2-large-xlsr-53-punjabi,automatic-speech-recognition,wav2vec2-large-xlsr-53-punjabi
PaddlePaddle/PP-OCRv5_server_det,image-to-text,PP-OCRv5_server_det
audeering/wav2vec2-large-robust-12-ft-emotion-msp-dim,audio-classification,wav2vec2-large-robust-12-ft-emotion-msp-dim
TaylorAI/bge-micro-v2,sentence-similarity,bge-micro-v2
aubmindlab/bert-base-arabertv02,fill-mask,bert-base-arabertv02
mixedbread-ai/mxbai-rerank-base-v1,text-ranking,mxbai-rerank-base-v1
timm/convnext_base.clip_laion2b,image-feature-extraction,convnext_base.clip_laion2b
sentence-transformers/msmarco-bert-base-dot-v5,sentence-similarity,msmarco-bert-base-dot-v5
dragonkue/BGE-m3-ko,sentence-similarity,BGE-m3-ko
intfloat/e5-small-v2,sentence-similarity,e5-small-v2
anton-l/wav2vec2-large-xlsr-53-slovenian,automatic-speech-recognition,wav2vec2-large-xlsr-53-slovenian
Helsinki-NLP/opus-mt-es-en,translation,opus-mt-es-en
sentence-transformers/all-roberta-large-v1,sentence-similarity,all-roberta-large-v1
briaai/RMBG-2.0,image-segmentation,RMBG-2.0
sumedh/wav2vec2-large-xlsr-marathi,automatic-speech-recognition,wav2vec2-large-xlsr-marathi
SpideyDLK/wav2vec2-large-xls-r-300m-sinhala-low-LR-part1,automatic-speech-recognition,wav2vec2-large-xls-r-300m-sinhala-low-LR-part1
facebook/esm2_t36_3B_UR50D,fill-mask,esm2_t36_3B_UR50D
cl-nagoya/ruri-v3-310m,sentence-similarity,ruri-v3-310m
Alibaba-NLP/gte-base-en-v1.5,sentence-similarity,gte-base-en-v1_5
indobenchmark/indobert-base-p1,feature-extraction,indobert-base-p1
distilbert/distilbert-base-multilingual-cased,fill-mask,distilbert-base-multilingual-cased
timm/vit_small_patch16_224.augreg_in21k_ft_in1k,image-classification,vit_small_patch16_224.augreg_in21k_ft_in1k
danielheinz/e5-base-sts-en-de,feature-extraction,e5-base-sts-en-de
timm/vit_base_patch14_dinov2.lvd142m,image-feature-extraction,vit_base_patch14_dinov2.lvd142m
allenai/specter2_base,feature-extraction,specter2_base
google-bert/bert-base-chinese,fill-mask,bert-base-chinese
jinaai/jina-reranker-m0,text-classification,jina-reranker-m0
Helsinki-NLP/opus-mt-en-es,translation,opus-mt-en-es
mixedbread-ai/mxbai-rerank-xsmall-v1,text-ranking,mxbai-rerank-xsmall-v1
laion/CLIP-convnext_base_w-laion2B-s13B-b82K-augreg,zero-shot-image-classification,CLIP-convnext_base_w-laion2B-s13B-b82K-augreg
hantian/layoutreader,token-classification,layoutreader
amoghsgopadi/wav2vec2-large-xlsr-kn,automatic-speech-recognition,wav2vec2-large-xlsr-kn
kredor/punctuate-all,token-classification,punctuate-all
facebook/dinov3-vitb16-pretrain-lvd1689m,image-feature-extraction,dinov3-vitb16-pretrain-lvd1689m
facebook/hubert-large-ls960-ft,automatic-speech-recognition,hubert-large-ls960-ft
papluca/xlm-roberta-base-language-detection,text-classification,xlm-roberta-base-language-detection
facebook/esm2_t30_150M_UR50D,fill-mask,esm2_t30_150M_UR50D
timm/resnet34.a1_in1k,image-classification,resnet34.a1_in1k
PaddlePaddle/UVDoc,image-to-text,UVDoc
alvanlii/wav2vec2-BERT-cantonese,automatic-speech-recognition,wav2vec2-BERT-cantonese
opensearch-project/opensearch-neural-sparse-encoding-doc-v2-distill,feature-extraction,opensearch-neural-sparse-encoding-doc-v2-distill
Helsinki-NLP/opus-mt-tr-en,translation,opus-mt-tr-en
AbelZimba/whisper-bemba-stt,automatic-speech-recognition,whisper-bemba-stt
facebook/dinov3-vitl16-pretrain-lvd1689m,image-feature-extraction,dinov3-vitl16-pretrain-lvd1689m
microsoft/resnet-50,image-classification,resnet-50
GPTCache/paraphrase-albert-small-v2,feature-extraction,paraphrase-albert-small-v2
Davlan/xlm-roberta-large-ner-hrl,token-classification,xlm-roberta-large-ner-hrl
yikuan8/Clinical-Longformer,fill-mask,Clinical-Longformer
alefiury/wav2vec2-large-xlsr-53-gender-recognition-librispeech,audio-classification,wav2vec2-large-xlsr-53-gender-recognition-librispeech
google-bert/bert-base-german-cased,fill-mask,bert-base-german-cased
deepset/roberta-base-squad2,question-answering,roberta-base-squad2
unslothai/vram-16,feature-extraction,vram-16
unslothai/lambda,feature-extraction,lambda
ibm-granite/granite-speech-3.3-2b,automatic-speech-recognition,granite-speech-3.3-2b
bkai-foundation-models/vietnamese-bi-encoder,sentence-similarity,vietnamese-bi-encoder
Helsinki-NLP/opus-mt-ar-en,translation,opus-mt-ar-en
Helsinki-NLP/opus-mt-it-en,translation,opus-mt-it-en
nomic-ai/nomic-embed-code,sentence-similarity,nomic-embed-code
Snowflake/snowflake-arctic-embed-m,sentence-similarity,snowflake-arctic-embed-m
pysentimiento/robertuito-sentiment-analysis,text-classification,robertuito-sentiment-analysis
aismlv/wav2vec2-large-xlsr-kazakh,automatic-speech-recognition,wav2vec2-large-xlsr-kazakh
cointegrated/rubert-tiny2,sentence-similarity,rubert-tiny2
MIT/ast-finetuned-audioset-10-10-0.4593,audio-classification,ast-finetuned-audioset-10-10-0.4593
VoVanPhuc/sup-SimCSE-VietNamese-phobert-base,sentence-similarity,sup-SimCSE-VietNamese-phobert-base
facebook/dino-vitb16,image-feature-extraction,dino-vitb16
ifrz/wav2vec2-large-xlsr-galician,automatic-speech-recognition,wav2vec2-large-xlsr-galician
segment-any-text/sat-3l-sm,token-classification,sat-3l-sm
facebook/mask2former-swin-large-ade-semantic,image-segmentation,mask2former-swin-large-ade-semantic
jimregan/wav2vec2-large-xlsr-latvian-cv,automatic-speech-recognition,wav2vec2-large-xlsr-latvian-cv
Revai/reverb-diarization-v1,automatic-speech-recognition,reverb-diarization-v1
timm/vit_small_patch16_dinov3.lvd1689m,image-feature-extraction,vit_small_patch16_dinov3.lvd1689m
PaddlePaddle/PP-LCNet_x1_0_doc_ori,image-to-text,PP-LCNet_x1_0_doc_ori
biohub/ESMC-600M,fill-mask,ESMC-600M
FremyCompany/BioLORD-2023,sentence-similarity,BioLORD-2023
PekingU/rtdetr_v2_r50vd,object-detection,rtdetr_v2_r50vd
braindecode/signal-jepa_without-chans,feature-extraction,signal-jepa_without-chans
jhu-clsp/rank1-7b,text-ranking,rank1-7b
emilyalsentzer/Bio_Discharge_Summary_BERT,fill-mask,Bio_Discharge_Summary_BERT
facebook/bart-base,feature-extraction,bart-base
laion/clap-htsat-unfused,feature-extraction,clap-htsat-unfused
facebook/seamless-m4t-v2-large,automatic-speech-recognition,seamless-m4t-v2-large
Freepik/nsfw_image_detector,image-classification,nsfw_image_detector
l3cube-pune/telugu-sentence-bert-nli,sentence-similarity,telugu-sentence-bert-nli
ihanif/wav2vec2-xls-r-300m-pashto,automatic-speech-recognition,wav2vec2-xls-r-300m-pashto
Systran/faster-whisper-medium,automatic-speech-recognition,faster-whisper-medium
facebook/PE-Core-S16-384,zero-shot-image-classification,PE-Core-S16-384
Helsinki-NLP/opus-mt-de-en,translation,opus-mt-de-en
